name,code
Alendronate 70mg,RXCUI:46041
Amlodipine 5mg,RXCUI:17767
Amoxicillin 500mg,RXCUI:723
Aspirin 81mg,RXCUI:1191
Atorvastatin 20mg,RXCUI:83367
Augmentin,RXCUI:48203
Calcium,RXCUI:1895
Carbamazepine 200mg,RXCUI:2002
Cefixim 200mg,RXCUI:25033
Celecoxib 200mg,RXCUI:140587
Cetirizine 10mg,RXCUI:20610
Clotrimazole,RXCUI:2623
Cyproterone acetate 2mg,RXCUI:22054
Depakine Chrono 500mg,RXCUI-UNKNOWN
Diane-35,RXCUI-UNKNOWN
Diclofenac,RXCUI:3355
Digoxin 0.25mg,RXCUI:3407
Escitalopram 10mg,RXCUI:321988
Esomeprazole 40mg,RXCUI:283742
Ethinylestradiol 0.03mg,RXCUI:4124
Ferrous sulfate,RXCUI:24947
Fluconazole 150mg,RXCUI:4450
Furosemide 40mg,RXCUI:4603
Hydrocortisone,RXCUI:5492
Hydrocortisone 10mg,RXCUI:5492
Ibuprofen,RXCUI:5640
Isotretinoin 10mg,RXCUI:6064
Levothyroxine 50mcg,RXCUI:10582
Lisinopril 10mg,RXCUI:29046
Loratadine,RXCUI:28889
Meloxicam 15mg,RXCUI:41493
Meloxicam 7.5mg,RXCUI:41493
Metformin,RXCUI:6809
Methimazole 5mg,RXCUI:6835
Methotrexate 10mg/tuần,RXCUI:6851
Omeprazole 20mg,RXCUI:7646
Oresol,
Paracetamol 500mg,RXCUI:161
Prednisolone 5mg,RXCUI:8638
Salbutamol,RXCUI:435
Salmeterol/Fluticasone 50/250 mcg,RXCUI-UNKNOWN
Sertraline 50mg,RXCUI:36437
Sumatriptan 50mg,RXCUI:37418
Tamsulosin 0.4mg,RXCUI:77492
Tenofovir 300mg,RXCUI:117466
Tranexamic acid 500mg,RXCUI:10691
Trimebutin 200mg,RXCUI-UNKNOWN
Vitamin D3,RXCUI:1244014
Warfarin 2.5mg,RXCUI:11289
