name,code
Alendronate 70mg,RXCUI-UNKNOWN
Amlodipine 5mg,RXCUI:4337
Amoxicillin 500mg,RXCUI:723
Aspirin 81mg,RXCUI:1191
Atorvastatin 20mg,RXCUI:83367
Augmentin,RXCUI:2193
Calcium,RXCUI:1895
Carbamazepine 200mg,RXCUI:2002
Cefixim 200mg,RXCUI-UNKNOWN
Celecoxib 200mg,RXCUI:2156
Cetirizine 10mg,RXCUI:20610
Clotrimazole,RXCUI:2525
Cyproterone acetate 2mg,RXCUI-UNKNOWN
Depakine Chrono 500mg,RXCUI-UNKNOWN
Diane-35,RXCUI-UNKNOWN
Diclofenac,RXCUI:3355
Digoxin 0.25mg,RXCUI-UNKNOWN
Escitalopram 10mg,RXCUI-UNKNOWN
Esomeprazole 40mg,RXCUI:283742
Ethinylestradiol 0.03mg,RXCUI-UNKNOWN
Ferrous sulfate,RXCUI:4477
Fluconazole 150mg,RXCUI:4492
Furosemide 40mg,RXCUI:4815
Hydrocortisone,RXCUI:5492
Hydrocortisone 10mg,RXCUI-UNKNOWN
Ibuprofen,RXCUI:5640
Isotretinoin 10mg,RXCUI:6064
Levothyroxine 50mcg,RXCUI:10582
Lisinopril 10mg,RXCUI:6472
Loratadine,RXCUI:28889
Meloxicam 15mg,RXCUI-UNKNOWN
Meloxicam 7.5mg,RXCUI-UNKNOWN
Metformin,RXCUI:6809
Methimazole 5mg,RXCUI:6876
Methotrexate 10mg/tuần,RXCUI:6809
Omeprazole 20mg,RXCUI:7052
Oresol,RXCUI:7800
Paracetamol 500mg,RXCUI:161
Prednisolone 5mg,RXCUI:3498
Salbutamol,RXCUI:86045
Salmeterol/Fluticasone 50/250 mcg,RXCUI-UNKNOWN
Sertraline 50mg,RXCUI:36437
Sumatriptan 50mg,RXCUI-UNKNOWN
Tamsulosin 0.4mg,RXCUI:77492
Tenofovir 300mg,RXCUI:284192
Tranexamic acid 500mg,RXCUI-UNKNOWN
Trimebutin 200mg,RXCUI-UNKNOWN
Vitamin D3,RXCUI:1244014
Warfarin 2.5mg,RXCUI:11170
