icd_code,synonym,classification,appears_in_samples,affected_nodes,affected_relationships,link_before,link_after,verdict
E11,bệnh tiểu đường,CATEGORY_NARROWING,NONE,NONE,NONE,E11|Đái tháo đường týp 2|fuzzy,E11|Đái tháo đường týp 2|fuzzy,SAFE_TO_REMOVE
J18.9,viêm phế quản phổi,CATEGORY_NARROWING,NONE,NONE,NONE,J18.9|Viêm phổi|exact,J20.9|Viêm phế quản cấp|fuzzy,CHANGES_LINKING
J18.9,viêm đường hô hấp dưới,CATEGORY_NARROWING,NONE,NONE,NONE,J18.9|Viêm phổi|exact,ICD-UNKNOWN|viêm đường hô hấp dưới|unlinked,SAFE_TO_REMOVE
J20.9,viêm phế quản,CATEGORY_NARROWING,NONE,NONE,NONE,J20.9|Viêm phế quản cấp|exact,J18.9|Viêm phổi|fuzzy,CHANGES_LINKING
M51.2,thoát vị đĩa đệm,CATEGORY_NARROWING,NONE,NONE,NONE,M51.2|Thoát vị đĩa đệm cột sống thắt lưng|exact,ICD-UNKNOWN|thoát vị đĩa đệm|unlinked,SAFE_TO_REMOVE
E78.5,tăng cholesterol máu,CATEGORY_NARROWING,NONE,NONE,NONE,E78.5|Rối loạn lipid máu|exact,ICD-UNKNOWN|tăng cholesterol máu|unlinked,SAFE_TO_REMOVE
H36.0,bệnh võng mạc đái tháo đường,CATEGORY_NARROWING,NONE,NONE,NONE,H36.0|Biến chứng võng mạc|fuzzy,ICD-UNKNOWN|Võng mạc đái tháo đường|unlinked,SAFE_TO_REMOVE
K29.7,đau dạ dày,SYMPTOM_AS_DISEASE,NONE,NONE,NONE,K29.7|Viêm loét dạ dày|exact,ICD-UNKNOWN|đau dạ dày|unlinked,SAFE_TO_REMOVE
K29.7,viêm loét dạ dày,CATEGORY_NARROWING,syn_003;syn_012;syn_087,"Viêm loét dạ dày (K29.7, id=6)",(Amoxicillin 500mg)-[:PRESCRIBED_FOR]->(Viêm loét dạ dày) [rid=5];(Ibuprofen)-[:CONTRAINDICATED_FOR]->(Viêm loét dạ dày) [rid=66];(Omeprazole 20mg)-[:PRESCRIBED_FOR]->(Viêm loét dạ dày) [rid=79];(Viêm loét dạ dày)-[:CAUSES]->(Đau thượng vị) [rid=179];(Viêm loét dạ dày)-[:HAS_SYMPTOM]->(Đau thượng vị) [rid=4];(Viêm loét dạ dày)-[:HAS_SYMPTOM]->(Ợ chua) [rid=178],K29.7|Viêm loét dạ dày|exact,ICD-UNKNOWN|Viêm loét dạ dày|unlinked,BREAKS_EXISTING_NODE
K25,loét dạ dày tá tràng,CATEGORY_NARROWING,syn_012,NONE,NONE,K25|Viêm loét dạ dày|exact,ICD-UNKNOWN|Viêm loét dạ dày|unlinked,CHANGES_LINKING
I21,đột quỵ tim,CATEGORY_NARROWING,NONE,NONE,NONE,I21|Nhồi máu cơ tim cấp|exact,ICD-UNKNOWN|đột quỵ tim|unlinked,SAFE_TO_REMOVE
I63,đột quỵ não,CATEGORY_NARROWING,NONE,NONE,NONE,I63|Nhồi máu não|exact,ICD-UNKNOWN|đột quỵ não|unlinked,SAFE_TO_REMOVE
I63,tai biến mạch máu não,CATEGORY_NARROWING,syn_038,NONE,NONE,I63|Nhồi máu não|exact,ICD-UNKNOWN|Nhồi máu não|unlinked,CHANGES_LINKING
I63,thiếu máu não cục bộ,CATEGORY_NARROWING,NONE,NONE,NONE,I63|Nhồi máu não|exact,ICD-UNKNOWN|thiếu máu não cục bộ|unlinked,SAFE_TO_REMOVE
J00,viêm họng cấp,CATEGORY_NARROWING,syn_029,"Viêm mũi họng cấp (J00, id=62)",(Viêm mũi họng cấp)-[:HAS_SYMPTOM]->(Nuốt khó) [rid=37];(Viêm mũi họng cấp)-[:HAS_SYMPTOM]->(Đau họng) [rid=36],J00|Viêm mũi họng cấp|exact,ICD-UNKNOWN|viêm họng cấp|unlinked,BREAKS_EXISTING_NODE
J00,nhiễm siêu vi hô hấp,CATEGORY_NARROWING,NONE,NONE,NONE,J00|Viêm mũi họng cấp|exact,ICD-UNKNOWN|nhiễm siêu vi hô hấp|unlinked,SAFE_TO_REMOVE
J02.9,đau họng,SYMPTOM_AS_DISEASE,syn_029,NONE,NONE,ICD-UNKNOWN|None|rejected_generic,ICD-UNKNOWN|None|rejected_generic,SAFE_TO_REMOVE
J02.9,viêm họng hạt,CATEGORY_NARROWING,NONE,NONE,NONE,J02.9|Viêm họng|exact,ICD-UNKNOWN|viêm họng hạt|unlinked,SAFE_TO_REMOVE
J30.4,dị ứng thời tiết,CATEGORY_NARROWING,NONE,NONE,NONE,J30.4|Viêm mũi dị ứng|exact,ICD-UNKNOWN|dị ứng thời tiết|unlinked,SAFE_TO_REMOVE
A09,tiêu chảy cấp,SYMPTOM_AS_DISEASE,syn_003;syn_040;syn_082,"Viêm dạ dày ruột nhiễm khuẩn (A09, id=86)",(Oresol)-[:PRESCRIBED_FOR]->(Viêm dạ dày ruột nhiễm khuẩn) [rid=54];(Viêm dạ dày ruột nhiễm khuẩn)-[:HAS_SYMPTOM]->(Đi ngoài 5 lần/ngày) [rid=53],A09|Viêm dạ dày ruột nhiễm khuẩn|exact,ICD-UNKNOWN|Tiêu chảy cấp|unlinked,BREAKS_EXISTING_NODE
A09,rối loạn tiêu hóa,CATEGORY_NARROWING,NONE,NONE,NONE,A09|Viêm dạ dày ruột nhiễm khuẩn|exact,ICD-UNKNOWN|rối loạn tiêu hóa|unlinked,SAFE_TO_REMOVE
M19.9,thoái hóa khớp gối,CATEGORY_NARROWING,syn_014;syn_080,"Thoái hóa khớp (M19.9, id=28)",(Celecoxib 200mg)-[:PRESCRIBED_FOR]->(Thoái hóa khớp) [rid=7];(Meloxicam 15mg)-[:PRESCRIBED_FOR]->(Thoái hóa khớp) [rid=163];(Thoái hóa khớp)-[:HAS_SYMPTOM]->(Cứng khớp buổi sáng) [rid=162];(Thoái hóa khớp)-[:HAS_SYMPTOM]->(Đau khớp) [rid=161];(Thoái hóa khớp)-[:HAS_SYMPTOM]->(Đau tăng khi vận động) [rid=8],M19.9|Thoái hóa khớp|exact,ICD-UNKNOWN|Thoái hóa khớp|unlinked,BREAKS_EXISTING_NODE
M19.9,thoái hóa cột sống,CATEGORY_NARROWING,NONE,NONE,NONE,M19.9|Thoái hóa khớp|exact,ICD-UNKNOWN|thoái hóa cột sống|unlinked,SAFE_TO_REMOVE
M19.9,đau khớp mạn tính,SYMPTOM_AS_DISEASE,NONE,NONE,NONE,M19.9|Thoái hóa khớp|exact,ICD-UNKNOWN|đau khớp mạn tính|unlinked,SAFE_TO_REMOVE
G40.9,cơn co giật,SYMPTOM_AS_DISEASE,syn_027;syn_073,NONE,NONE,G40.9|Động kinh|exact,ICD-UNKNOWN|cơn co giật|unlinked,CHANGES_LINKING
F41.1,rối loạn lo âu,CATEGORY_NARROWING,syn_049,NONE,NONE,F41.1|Rối loạn lo âu lan tỏa|exact,ICD-UNKNOWN|Rối loạn lo âu lan tỏa|unlinked,CHANGES_LINKING
F41.1,lo âu mạn tính,SYMPTOM_AS_DISEASE,NONE,NONE,NONE,F41.1|Rối loạn lo âu lan tỏa|exact,ICD-UNKNOWN|lo âu mạn tính|unlinked,SAFE_TO_REMOVE
E05.9,Basedow,CATEGORY_NARROWING,NONE,NONE,NONE,E05.9|Cường giáp|exact,ICD-UNKNOWN|Basedow|unlinked,SAFE_TO_REMOVE
N20.0,sỏi đường tiết niệu,CATEGORY_NARROWING,NONE,NONE,NONE,N20.0|Sỏi thận|exact,ICD-UNKNOWN|sỏi đường tiết niệu|unlinked,SAFE_TO_REMOVE
N20.0,sỏi niệu quản,CATEGORY_NARROWING,NONE,NONE,NONE,N20.0|Sỏi thận|exact,ICD-UNKNOWN|sỏi niệu quản|unlinked,SAFE_TO_REMOVE
K80.2,sỏi mật,CATEGORY_NARROWING,NONE,NONE,NONE,K80.2|Sỏi túi mật|exact,ICD-UNKNOWN|sỏi mật|unlinked,SAFE_TO_REMOVE
A15.0,bệnh lao,CATEGORY_NARROWING,NONE,NONE,NONE,A15.0|Lao phổi|exact,ICD-UNKNOWN|bệnh lao|unlinked,SAFE_TO_REMOVE
A15.0,lao phế quản,CATEGORY_NARROWING,NONE,NONE,NONE,A15.0|Lao phổi|exact,ICD-UNKNOWN|lao phế quản|unlinked,SAFE_TO_REMOVE
L20.9,eczema,CATEGORY_NARROWING,NONE,NONE,NONE,L20.9|Viêm da cơ địa|exact,ICD-UNKNOWN|eczema|unlinked,SAFE_TO_REMOVE
L70.0,mụn trứng cá mức độ trung bình,CATEGORY_NARROWING,syn_030,"Mụn trứng cá (L70.0, id=66)",(Isotretinoin 10mg)-[:PRESCRIBED_FOR]->(Mụn trứng cá) [rid=38],L70.0|Mụn trứng cá|exact,ICD-UNKNOWN|mụn trứng cá mức độ trung bình|unlinked,BREAKS_EXISTING_NODE
N76.0,viêm âm đạo do nấm,CATEGORY_NARROWING,syn_028;syn_070,"Viêm âm đạo do nấm (N76.0, id=61)",(Clotrimazole)-[:PRESCRIBED_FOR]->(Viêm âm đạo do nấm) [rid=127];(Fluconazole 150mg)-[:PRESCRIBED_FOR]->(Viêm âm đạo do nấm) [rid=35];(Viêm âm đạo do nấm)-[:HAS_SYMPTOM]->(Ngứa rát vùng kín) [rid=125];(Viêm âm đạo do nấm)-[:HAS_SYMPTOM]->(Ra khí hư đặc dính màu trắng đục như váng sữa) [rid=126],N76.0|Viêm âm đạo do nấm|exact,ICD-UNKNOWN|Viêm âm đạo do nấm|unlinked,BREAKS_EXISTING_NODE
N76.0,nhiễm nấm âm đạo,CATEGORY_NARROWING,NONE,NONE,NONE,N76.0|Viêm âm đạo do nấm|exact,ICD-UNKNOWN|nhiễm nấm âm đạo|unlinked,SAFE_TO_REMOVE
B35.9,nấm bẹn,CATEGORY_NARROWING,NONE,NONE,NONE,B35.9|Nấm da|exact,ICD-UNKNOWN|nấm bẹn|unlinked,SAFE_TO_REMOVE
D69.3,giảm tiểu cầu,SYMPTOM_AS_DISEASE,NONE,NONE,NONE,D69.3|Xuất huyết giảm tiểu cầu vô căn|exact,ICD-UNKNOWN|giảm tiểu cầu|unlinked,SAFE_TO_REMOVE
I48.9,loạn nhịp tim,CATEGORY_NARROWING,NONE,NONE,NONE,I48.9|Rung nhĩ|exact,ICD-UNKNOWN|loạn nhịp tim|unlinked,SAFE_TO_REMOVE
M75.2,viêm quanh khớp vai,CATEGORY_NARROWING,NONE,NONE,NONE,M75.2|Viêm gân vai|exact,ICD-UNKNOWN|viêm quanh khớp vai|unlinked,SAFE_TO_REMOVE
