name,old_code,new_code,action,method,reason
Alendronate 70mg,RXCUI-UNKNOWN,RXCUI:46041,FILL,api_reverse_verified,RxNav xac minh nguoc: 'alendronate' (ten khop truc tiep)
Amlodipine 5mg,RXCUI:4337,RXCUI:17767,CORRECT,cache_reverse_verified,cache da xac minh nguoc: amlodipine (ten khop truc tiep)
Amoxicillin 500mg,RXCUI:723,RXCUI:723,KEEP,cache_reverse_verified,cache da xac minh nguoc: amoxicillin (ten khop truc tiep)
Aspirin 81mg,RXCUI:1191,RXCUI:1191,KEEP,cache_reverse_verified,cache da xac minh nguoc: aspirin (ten khop truc tiep)
Atorvastatin 20mg,RXCUI:83367,RXCUI:83367,KEEP,cache_reverse_verified,cache da xac minh nguoc: atorvastatin (ten khop truc tiep)
Augmentin,RXCUI:2193,RXCUI:48203,CORRECT,cache_reverse_verified,cache da xac minh nguoc: clavulanate (ten khop truc tiep)
Calcium,RXCUI:1895,RXCUI:1895,KEEP,api_reverse_verified,RxNav xac minh nguoc: 'calcium' (ten khop truc tiep)
Carbamazepine 200mg,RXCUI:2002,RXCUI:2002,KEEP,cache_reverse_verified,cache da xac minh nguoc: carbamazepine (ten khop truc tiep)
Cefixim 200mg,RXCUI-UNKNOWN,RXCUI:25033,FILL,api_reverse_verified,RxNav xac minh nguoc: 'cefixime' (ten khop truc tiep)
Celecoxib 200mg,RXCUI:2156,RXCUI:140587,CORRECT,cache_reverse_verified,cache da xac minh nguoc: celecoxib (ten khop truc tiep)
Cetirizine 10mg,RXCUI:20610,RXCUI:20610,KEEP,cache_reverse_verified,cache da xac minh nguoc: cetirizine (ten khop truc tiep)
Clotrimazole,RXCUI:2525,RXCUI:2623,CORRECT,cache_reverse_verified,cache da xac minh nguoc: clotrimazole (ten khop truc tiep)
Cyproterone acetate 2mg,RXCUI-UNKNOWN,RXCUI:22054,FILL,api_reverse_verified,RxNav xac minh nguoc: 'cyproterone acetate' (ten khop truc tiep)
Depakine Chrono 500mg,RXCUI-UNKNOWN,,KEEP_NULL,no_concept,item 2d: Biet duoc valproate phong thich cham - RxNorm chi co hoat chat
Diane-35,RXCUI-UNKNOWN,,KEEP_NULL,no_concept,"item 2d: Biet duoc (cyproterone + ethinylestradiol), khong luu hanh tai My"
Diclofenac,RXCUI:3355,RXCUI:3355,KEEP,cache_reverse_verified,cache da xac minh nguoc: diclofenac (ten khop truc tiep)
Digoxin 0.25mg,RXCUI-UNKNOWN,RXCUI:3407,FILL,api_reverse_verified,RxNav xac minh nguoc: 'digoxin' (ten khop truc tiep)
Escitalopram 10mg,RXCUI-UNKNOWN,RXCUI:321988,FILL,api_reverse_verified,RxNav xac minh nguoc: 'escitalopram' (ten khop truc tiep)
Esomeprazole 40mg,RXCUI:283742,RXCUI:283742,KEEP,cache_reverse_verified,cache da xac minh nguoc: esomeprazole (ten khop truc tiep)
Ethinylestradiol 0.03mg,RXCUI-UNKNOWN,RXCUI:4124,FILL,api_reverse_verified,RxNav xac minh nguoc: 'ethinyl estradiol' (ten khop truc tiep)
Ferrous sulfate,RXCUI:4477,RXCUI:24947,CORRECT,cache_reverse_verified,cache da xac minh nguoc: ferrous sulfate (ten khop truc tiep)
Fluconazole 150mg,RXCUI:4492,RXCUI:4450,CORRECT,cache_reverse_verified,cache da xac minh nguoc: fluconazole (ten khop truc tiep)
Furosemide 40mg,RXCUI:4815,RXCUI:4603,CORRECT,cache_reverse_verified,cache da xac minh nguoc: furosemide (ten khop truc tiep)
Hydrocortisone,RXCUI:5492,RXCUI:5492,KEEP,api_reverse_verified,RxNav xac minh nguoc: 'hydrocortisone' (ten khop truc tiep)
Hydrocortisone 10mg,RXCUI-UNKNOWN,RXCUI:5492,FILL,api_reverse_verified,RxNav xac minh nguoc: 'hydrocortisone' (ten khop truc tiep)
Ibuprofen,RXCUI:5640,RXCUI:5640,KEEP,cache_reverse_verified,cache da xac minh nguoc: ibuprofen (ten khop truc tiep)
Isotretinoin 10mg,RXCUI:6064,RXCUI:6064,KEEP,cache_reverse_verified,cache da xac minh nguoc: isotretinoin (ten khop truc tiep)
Levothyroxine 50mcg,RXCUI:10582,RXCUI:10582,KEEP,cache_reverse_verified,cache da xac minh nguoc: levothyroxine (ten khop truc tiep)
Lisinopril 10mg,RXCUI:6472,RXCUI:29046,CORRECT,cache_reverse_verified,cache da xac minh nguoc: lisinopril (ten khop truc tiep)
Loratadine,RXCUI:28889,RXCUI:28889,KEEP,api_reverse_verified,RxNav xac minh nguoc: 'loratadine' (ten khop truc tiep)
Meloxicam 15mg,RXCUI-UNKNOWN,RXCUI:41493,FILL,api_reverse_verified,RxNav xac minh nguoc: 'meloxicam' (ten khop truc tiep)
Meloxicam 7.5mg,RXCUI-UNKNOWN,RXCUI:41493,FILL,api_reverse_verified,RxNav xac minh nguoc: 'meloxicam' (ten khop truc tiep)
Metformin,RXCUI:6809,RXCUI:6809,KEEP,cache_reverse_verified,cache da xac minh nguoc: metformin (ten khop truc tiep)
Methimazole 5mg,RXCUI:6876,RXCUI:6835,CORRECT,cache_reverse_verified,cache da xac minh nguoc: methimazole (ten khop truc tiep)
Methotrexate 10mg/tuần,RXCUI:6809,RXCUI:6851,CORRECT,cache_reverse_verified,cache da xac minh nguoc: methotrexate (ten khop truc tiep)
Omeprazole 20mg,RXCUI:7052,RXCUI:7646,CORRECT,cache_reverse_verified,cache da xac minh nguoc: omeprazole (ten khop truc tiep)
Oresol,RXCUI:7800,,CLEAR_SENTINEL,no_concept,item 2d: Dung dich bu nuoc dien giai (ORS) - RxNorm khong co concept tuong duong
Paracetamol 500mg,RXCUI:161,RXCUI:161,KEEP,cache_reverse_verified,cache da xac minh nguoc: acetaminophen (ten khop truc tiep)
Prednisolone 5mg,RXCUI:3498,RXCUI:8638,CORRECT,cache_reverse_verified,cache da xac minh nguoc: prednisolone (ten khop truc tiep)
Salbutamol,RXCUI:86045,RXCUI:435,CORRECT,cache_reverse_verified,"cache da xac minh nguoc: albuterol (RxNav name-index (INN/USAN alias, ten hien thi='albuterol'))"
Salmeterol/Fluticasone 50/250 mcg,RXCUI-UNKNOWN,,KEEP_NULL,no_concept,item 2d: Thuoc phoi hop 2 hoat chat dang hit - khong co concept don
Sertraline 50mg,RXCUI:36437,RXCUI:36437,KEEP,cache_reverse_verified,cache da xac minh nguoc: sertraline (ten khop truc tiep)
Sumatriptan 50mg,RXCUI-UNKNOWN,RXCUI:37418,FILL,api_reverse_verified,RxNav xac minh nguoc: 'sumatriptan' (ten khop truc tiep)
Tamsulosin 0.4mg,RXCUI:77492,RXCUI:77492,KEEP,cache_reverse_verified,cache da xac minh nguoc: tamsulosin (ten khop truc tiep)
Tenofovir 300mg,RXCUI:284192,RXCUI:117466,CORRECT,cache_reverse_verified,cache da xac minh nguoc: tenofovir (ten khop truc tiep)
Tranexamic acid 500mg,RXCUI-UNKNOWN,RXCUI:10691,FILL,api_reverse_verified,RxNav xac minh nguoc: 'tranexamic acid' (ten khop truc tiep)
