name_vi,query_sent,old_rxcui,new_rxcui,rxnav_name,reverse_verified,changed,verdict
Paracetamol 500mg,Acetaminophen,161,161,acetaminophen,YES,NO,OK
Aspirin 81mg,Aspirin,1191,1191,aspirin,YES,NO,OK
Ibuprofen,Ibuprofen,5640,5640,ibuprofen,YES,NO,OK
Metformin,Metformin,6809,6809,metformin,YES,NO,OK
Amlodipine 5mg,Amlodipine,4337,17767,amlodipine,YES,YES,OK  (SUA: 4337 -> 17767)
Lisinopril 10mg,Lisinopril,6472,29046,lisinopril,YES,YES,OK  (SUA: 6472 -> 29046)
Atorvastatin 20mg,Atorvastatin,83367,83367,atorvastatin,YES,NO,OK
Losartan 50mg,Losartan,29046,52175,losartan,YES,YES,OK  (SUA: 29046 -> 52175)
Amoxicillin 500mg,Amoxicillin,723,723,amoxicillin,YES,NO,OK
Augmentin,Clavulanate,2193,48203,clavulanate,YES,YES,OK  (SUA: 2193 -> 48203)
Azithromycin 500mg,Azithromycin,18631,18631,azithromycin,YES,NO,OK
Ciprofloxacin 500mg,Ciprofloxacin,2551,2551,ciprofloxacin,YES,NO,OK
Omeprazole 20mg,Omeprazole,7052,7646,omeprazole,YES,YES,OK  (SUA: 7052 -> 7646)
Esomeprazole 40mg,Esomeprazole,283742,283742,esomeprazole,YES,NO,OK
Pantoprazole 40mg,Pantoprazole,258494,40790,pantoprazole,YES,YES,OK  (SUA: 258494 -> 40790)
Salbutamol,Salbutamol,86045,435,albuterol,YES,YES,OK  (SUA: 86045 -> 435)
Prednisolone 5mg,Prednisolone,3498,8638,prednisolone,YES,YES,OK  (SUA: 3498 -> 8638)
Dexamethasone,Dexamethasone,3264,3264,dexamethasone,YES,NO,OK
Insulin,Insulin,3616,253182,"insulin, regular, human",YES,YES,OK  (SUA: 3616 -> 253182)
Warfarin 2.5mg,Warfarin,11170,11289,warfarin,YES,YES,OK  (SUA: 11170 -> 11289)
Clopidogrel 75mg,Clopidogrel,32968,32968,clopidogrel,YES,NO,OK
Gliclazide,Gliclazide,41126,4816,gliclazide,YES,YES,OK  (SUA: 41126 -> 4816)
Furosemide 40mg,Furosemide,4815,4603,furosemide,YES,YES,OK  (SUA: 4815 -> 4603)
Simvastatin,Simvastatin,9754,36567,simvastatin,YES,YES,OK  (SUA: 9754 -> 36567)
Telmisartan 40mg,Telmisartan,10023,73494,telmisartan,YES,YES,OK  (SUA: 10023 -> 73494)
Diclofenac,Diclofenac,3355,3355,diclofenac,YES,NO,OK
Bromhexine 8mg,Bromhexine,15370,1753,bromhexine,YES,YES,OK  (SUA: 15370 -> 1753)
Ferrous sulfate,Ferrous sulfate,4477,24947,ferrous sulfate,YES,YES,OK  (SUA: 4477 -> 24947)
Celecoxib 200mg,Celecoxib,2156,140587,celecoxib,YES,YES,OK  (SUA: 2156 -> 140587)
Levothyroxine 50mcg,Levothyroxine,10582,10582,levothyroxine,YES,NO,OK
Methimazole 5mg,Methimazole,6876,6835,methimazole,YES,YES,OK  (SUA: 6876 -> 6835)
Cefuroxime 500mg,Cefuroxime,2231,2194,cefuroxime,YES,YES,OK  (SUA: 2231 -> 2194)
Metronidazole 250mg,Metronidazole,6922,6922,metronidazole,YES,NO,OK
Clotrimazole,Clotrimazole,2525,2623,clotrimazole,YES,YES,OK  (SUA: 2525 -> 2623)
Desloratadine 5mg,Desloratadine,68579,275635,desloratadine,YES,YES,OK  (SUA: 68579 -> 275635)
Allopurinol 300mg,Allopurinol,468,519,allopurinol,YES,YES,OK  (SUA: 468 -> 519)
Tamsulosin 0.4mg,Tamsulosin,77492,77492,tamsulosin,YES,NO,OK
Isotretinoin 10mg,Isotretinoin,6064,6064,isotretinoin,YES,NO,OK
Fluconazole 150mg,Fluconazole,4492,4450,fluconazole,YES,YES,OK  (SUA: 4492 -> 4450)
Sertraline 50mg,Sertraline,36437,36437,sertraline,YES,NO,OK
Tenofovir 300mg,Tenofovir,284192,117466,tenofovir,YES,YES,OK  (SUA: 284192 -> 117466)
Cetirizine 10mg,Cetirizine,20610,20610,cetirizine,YES,NO,OK
Methotrexate 10mg/tuần,Methotrexate,6809,6851,methotrexate,YES,YES,OK  (SUA: 6809 -> 6851)
Carbamazepine 200mg,Carbamazepine,2002,2002,carbamazepine,YES,NO,OK
Oresol,Oral Rehydration Salts,7800,,,NO,NO,CAN XU LY TAY (khong tim thay)
Corticoid,Corticosteroid,2828,,,NO,NO,CAN XU LY TAY (khong tim thay)
Methyldopa,Methyldopa,2260,6876,methyldopa,YES,YES,OK  (SUA: 2260 -> 6876)
Colchicine,Colchicine,2376,2683,colchicine,YES,YES,OK  (SUA: 2376 -> 2683)
Glucosamine,Glucosamine,4850,4845,glucosamine,YES,YES,OK  (SUA: 4850 -> 4845)
